powerplant,station_1,station_2,station_3,station_4,station_5
平鎮淨水場太陽光電發電站/Pingzhen Water Treatment Plant Solar Power Station,新屋,新竹,新北,臺北,淡水
大湳淨水場太陽光電發電站/Danan Water Treatment Plant Solar Power Station,新北,臺北,新屋,淡水,新竹
龜山第三加壓站太陽光電發電站/Guishan No.3 Pumping Station Solar Power Station,臺北,淡水,新北,竹子湖,鞍部
"淡水3.5萬噸配水池太陽光電發電站/Danshui Distribution Reservoir(35,000 tons) Solar Power Station",淡水,鞍部,竹子湖,臺北,新北
龍潭淨水場太陽光電發電站/Longtan Water Treatment Plant Solar Power Station,新竹,新屋,新北,臺北,淡水
澎湖尖山小再太陽光電發電站/Penghu jianshan Small Scale Renewable Energy Solar Power Station,澎湖,東吉島,嘉義,永康,臺南
台南七股II太陽光電發電站/Tainan Qigu II Solar Power Station,永康,臺南,高雄,嘉義,東吉島
義竹工作站太陽光電發電站/Yizhu Workhouse Solar Power Station,嘉義,永康,臺南,古坑,阿里山
台南鹽田電氣室太陽光電發電站/Tainan salt field Electrical Room Solar Power Station,永康,臺南,東吉島,嘉義,高雄
嘉義分所太陽光電發電站/Chiayi Agricultural Experiment Branch Solar Power Station,嘉義,古坑,阿里山,田中,玉山
高訓中心太陽光電發電站/Kaohsiung Training Institute Solar Power Station,高雄,臺南,永康,大武,恆春
金門酒廠太陽光電發電站/Kinmen Kaoliang Liquor Inc. Solar Power Station,金門,澎湖,東吉島,田中,嘉義
